#1
#LambdaP5_05906	P5_05906
#1.000
#S1-333-P1(S2)X1-3777(S1)|AB 470|5 AOI   F=1
1000	0.0154
1001	-0.007
1002	-0.048
1003	-0.001
1004	0.0057
1005	0.0057
1006	0.0035
1007	0.0098
1008	0.0072
1009	0.0023
1010	0.0116
1011	0.0106
1012	0.0126
1013	-0.016
1014	-0.055
1015	0
1016	0.0314
1017	0.0635
1018	0.0191
1019	-0.005
1020	-0.038
1021	0.0064
1022	0.0132
1023	0.0096
1024	0.0098
1025	0.0096
1026	-0.022
1027	-0.055
1028	-0.013
1029	-0.009
1030	0.0286
1031	0.0595
1032	0.0135
1033	0.0097
1034	-0.02
1035	-0.042
1036	0
1037	0.0009
1038	0
1039	0.0012
1040	0.0014
1041	0
1042	0.0017
1043	0.0006
1044	0.0014
1045	0
1046	-0.004
1047	0.0005
1048	0.0052
1049	0.0025
1050	0.0003
1051	0.0063
1052	0.0129
1053	0.0077
1054	-0.001
1055	0
1056	0.0039
1057	0.0033
1058	-0.001
1059	0.0003
1060	0.007
1061	0.0038
1062	-0.001
1063	-0.002
1064	-0.005
1065	-0.004
1066	0.0018
1067	0.0041
1068	0.0029
1069	0.0029
1070	0.0015
1071	0
1072	-0.003
1073	-0.006
1074	0
1075	0.0059
1076	0.0023
1077	0.001
1078	0
1079	0.001
1080	0.0061
1081	0.0135
1082	0.009
1083	0.0124
1084	0.0174
1085	0.0147
1086	0.0096
1087	-0.032
1088	-0.012
1089	0.0114
1090	0.0066
1091	0.0122
1092	0.0168
1093	0.0293
1094	0.0213
1095	-0.036
1096	-0.013
1097	0.0122
1098	0.0069
1099	0.0089
1100	0.0091
1101	0.0076
1102	0.0142
1103	0.0193
1104	0.0099
1105	-0.036
1106	-0.004
1107	0.0099
1108	0.006
1109	0.0078
1110	0.0087
1111	0.0021
1112	0.0125
1113	0.0174
1114	0.0089
1115	0.0188
1116	0.0089
1117	0.0191
1118	0.0193
1119	0.0274
1120	0.0369
1121	0.046
1122	0.0405
1123	-0.012
1124	0.0428
1125	0.0657
1126	0.0796
1127	0.0994
1128	0.1193
1129	0.1372
1130	0.1584
1131	0.184
1132	0.1897
1133	0.208
1134	0.2216
1135	0.2326
1136	0.246
1137	0.2494
1138	0.2661
1139	0.2903
1140	0.2949
1141	0.3202
1142	0.3555
1143	0.3876
1144	0.4284
1145	0.4995
1146	0.5658
1147	0.6526
1148	0.7774
1149	0.9266
1150	1.1185
1151	1.3606
1152	1.6934
1153	2.109
1154	2.6664
1155	3.3787
1156	4.3133
1157	5.4874
1158	7.0039
1159	8.8278
1160	11.01
1161	13.595
1162	16.3
1163	19.217
1164	22.132
1165	24.901
1166	27.657
1167	30.442
1168	33.09
1169	35.889
1170	38.853
1171	42.096
1172	45.654
1173	49.82
1174	54.117
1175	58.797
1176	63.471
1177	68.202
1178	72.601
1179	76.511
1180	79.771
1181	82.323
1182	84.07
1183	85.178
1184	85.741
1185	85.875
1186	85.787
1187	85.556
1188	85.3
1189	85.076
1190	84.899
1191	84.813
1192	84.786
1193	84.822
1194	84.907
1195	84.988
1196	85.039
1197	85.065
1198	85.055
1199	85.01
1200	84.908
1201	84.787
1202	84.64
1203	84.455
1204	84.294
1205	84.125
1206	83.982
1207	83.854
1208	83.731
1209	83.676
1210	83.659
1211	83.684
1212	83.742
1213	83.845
1214	83.963
1215	84.11
1216	84.279
1217	84.474
1218	84.681
1219	84.886
1220	85.094
1221	85.319
1222	85.569
1223	85.78
1224	85.991
1225	86.188
1226	86.38
1227	86.559
1228	86.712
1229	86.859
1230	86.987
1231	87.091
1232	87.175
1233	87.251
1234	87.321
1235	87.374
1236	87.422
1237	87.477
1238	87.508
1239	87.534
1240	87.596
1241	87.666
1242	87.737
1243	87.83
1244	87.933
1245	88.062
1246	88.198
1247	88.339
1248	88.482
1249	88.621
1250	88.772
1251	88.907
1252	89.053
1253	89.187
1254	89.292
1255	89.386
1256	89.459
1257	89.526
1258	89.566
1259	89.587
1260	89.6
1261	89.603
1262	89.602
1263	89.59
1264	89.566
1265	89.56
1266	89.54
1267	89.523
1268	89.517
1269	89.509
1270	89.49
1271	89.495
1272	89.506
1273	89.505
1274	89.503
1275	89.527
1276	89.531
1277	89.542
1278	89.56
1279	89.601
1280	89.642
1281	89.656
1282	89.675
1283	89.714
1284	89.725
1285	89.767
1286	89.807
1287	89.844
1288	89.876
1289	89.894
1290	89.925
1291	89.956
1292	89.997
1293	90.045
1294	90.073
1295	90.139
1296	90.203
1297	90.283
1298	90.383
1299	90.467
1300	90.562
1301	90.693
1302	90.841
1303	91.025
1304	91.183
1305	91.362
1306	91.538
1307	91.705
1308	91.879
1309	92.036
1310	92.133
1311	92.214
1312	92.265
1313	92.258
1314	92.22
1315	92.084
1316	91.875
1317	91.55
1318	91.065
1319	90.419
1320	89.42
1321	88.084
1322	86.228
1323	83.836
1324	80.796
1325	77.132
1326	72.457
1327	67.393
1328	61.56
1329	55.415
1330	49.123
1331	42.949
1332	37.058
1333	31.759
1334	26.864
1335	22.746
1336	19.075
1337	16.041
1338	13.316
1339	11.183
1340	9.3972
1341	8.0104
1342	6.8149
1343	5.8113
1344	5.0079
1345	4.3207
1346	3.7538
1347	3.276
1348	2.8684
1349	2.5335
1350	2.2598
1351	2.0016
1352	1.7885
1353	1.6026
1354	1.45
1355	1.2957
1356	1.1748
1357	1.0634
1358	0.9593
1359	0.8716
1360	0.801
1361	0.7319
1362	0.6582
1363	0.5719
1364	0.475
1365	0.4729
1366	0.4261
1367	0.395
1368	0.3512
1369	0.3076
1370	0.2558
1371	0.1944
1372	0.212
1373	0.1906
1374	0.174
1375	0.165
1376	0.1459
1377	0.1111
1378	0.0563
1379	0.0498
1380	0.0868
1381	0.1118
1382	0.1344
1383	0.0447
1384	-0.015
