#1
# LambdaP4_07475	P4_07475
#	1.000
#	T-2479, 2481-P1, 5°, STP, 125MM RND
1800	-0.008
1801	0.025
1802	0.0258
1803	0.0269
1804	0.0342
1805	0.0552
1806	0.07
1807	0.026
1808	-0.01
1809	-0.01
1810	-0.004
1811	0
1812	0.006
1813	0.0092
1814	0.0183
1815	0.0394
1816	0.0386
1817	-0.01
1818	-0.081
1819	-0.086
1820	0.0003
1821	0.0868
1822	0.0979
1823	0.078
1824	0.0225
1825	-0.025
1826	-0.016
1827	-0.002
1828	0.0151
1829	0.0246
1830	0.0306
1831	0.0363
1832	0.0429
1833	0.0146
1834	-0.008
1835	-0.011
1836	0.0094
1837	-0.07
1838	-0.124
1839	-0.077
1840	0.0338
1841	0.2096
1842	0.2452
1843	0.1077
1844	-0.061
1845	-0.16
1846	-0.141
1847	-0.029
1848	0.0906
1849	0.1251
1850	0.1023
1851	0.0283
1852	-0.029
1853	0.0086
1854	0.0369
1855	0.0281
1856	-0.031
1857	-0.04
1858	-0.043
1859	-0.028
1860	0.0313
1861	0.0935
1862	0.0967
1863	0.1022
1864	0.085
1865	0.046
1866	-0.028
1867	-0.089
1868	-0.123
1869	-0.087
1870	-0.026
1871	-0.018
1872	-0.036
1873	0.0053
1874	0.0133
1875	0.0337
1876	0.0801
1877	0.1174
1878	0.0944
1879	0.007
1880	0.0009
1881	0.0117
1882	-0.032
1883	0
1884	0.0363
1885	0.0307
1886	0.0427
1887	-0.001
1888	-0.063
1889	-0.035
1890	0.016
1891	0.0435
1892	0.0632
1893	0.0737
1894	0.0872
1895	0.052
1896	-0.009
1897	-0.037
1898	-0.04
1899	0.0324
1900	0.07
1901	0.0084
1902	-0.027
1903	-0.01
1904	-0.063
1905	-0.032
1906	0.0599
1907	0.1259
1908	0.1218
1909	0.0571
1910	-0.022
1911	-0.044
1912	0.0065
1913	0.0581
1914	0.0854
1915	0.0951
1916	0.0635
1917	0.0455
1918	0.0329
1919	0.0459
1920	0.0605
1921	0.0574
1922	0.0968
1923	0.1268
1924	0.0879
1925	0.0495
1926	0.085
1927	0.1301
1928	0.1616
1929	0.1778
1930	0.1889
1931	0.2127
1932	0.2752
1933	0.2895
1934	0.3059
1935	0.32
1936	0.3311
1937	0.3319
1938	0.348
1939	0.4176
1940	0.4624
1941	0.4614
1942	0.4721
1943	0.5165
1944	0.5455
1945	0.5956
1946	0.5961
1947	0.5982
1948	0.6143
1949	0.6856
1950	0.7534
1951	0.7746
1952	0.7843
1953	0.8041
1954	0.8527
1955	0.94
1956	1.02
1957	1.0527
1958	1.1256
1959	1.2232
1960	1.2846
1961	1.3847
1962	1.5086
1963	1.5987
1964	1.7277
1965	1.8901
1966	2.0581
1967	2.2642
1968	2.4526
1969	2.6984
1970	3.0094
1971	3.3046
1972	3.6129
1973	3.9634
1974	4.4126
1975	4.9387
1976	5.5192
1977	6.1923
1978	6.9153
1979	7.7294
1980	8.6775
1981	9.7689
1982	11.008
1983	12.417
1984	13.965
1985	15.686
1986	17.575
1987	19.7
1988	22.021
1989	24.471
1990	27.055
1991	29.797
1992	32.645
1993	35.49
1994	38.311
1995	41.061
1996	43.68
1997	46.213
1998	48.568
1999	50.699
2000	52.634
2001	54.37
2002	55.916
2003	57.283
2004	58.49
2005	59.567
2006	60.543
2007	61.471
2008	62.336
2009	63.146
2010	63.934
2011	64.711
2012	65.488
2013	66.265
2014	67.046
2015	67.838
2016	68.642
2017	69.435
2018	70.232
2019	71.027
2020	71.809
2021	72.577
2022	73.314
2023	74.017
2024	74.703
2025	75.35
2026	75.944
2027	76.469
2028	76.953
2029	77.383
2030	77.756
2031	78.08
2032	78.36
