#1
#lambdaP5_14535	P5_14535
#X1-3826-P1, S5-221-P1, S5-232-P1, 5°
800	0
801	0.0029
802	0.0002
803	-0.001
804	0.0015
805	0.0034
806	0.0053
807	0.0062
808	0.0219
809	0.0169
810	0.0007
811	0.0017
812	0.0037
813	0.0074
814	0.0016
815	0
816	-0.001
817	0.0008
818	0.0039
819	0
820	0.0009
821	0.0013
822	0.005
823	0.0053
824	-0.001
825	0.0009
826	0.0004
827	0.0037
828	0.0054
829	-0.002
830	0
831	0
832	0.0021
833	0.0039
834	-0.001
835	0
836	-0.003
837	0.0035
838	0.0051
839	0.0003
840	0.0043
841	0.003
842	0.0069
843	0.0051
844	-0.001
845	0.0013
846	0
847	0.0042
848	0.0048
849	0
850	0.0031
851	0.0015
852	0.006
853	0.0086
854	0.0064
855	0.0096
856	0.0088
857	0.0138
858	0.0194
859	0.0349
860	0.0891
861	0.0574
862	0.0245
863	-0.011
864	-0.022
865	0.0072
866	0.0125
867	0.0163
868	0.0297
869	0.0285
870	0.0501
871	0.0448
872	0.0607
873	0.0293
874	0.0024
875	0.0123
876	0.0258
877	0.0396
878	0.0195
879	0.0519
880	0.0475
881	-0.01
882	-0.003
883	0.0226
884	0.0319
885	0.0078
886	0.0499
887	0.0455
888	-0.018
889	-0.006
890	0.0195
891	0.0262
892	0.017
893	0.0489
894	0.0503
895	0.0064
896	0.0147
897	0.0075
898	0.0294
899	0.0502
900	0.0695
901	0.0398
902	0.0048
903	0.0328
904	0.0428
905	0.0585
906	0.0359
907	0.0381
908	0.038
909	0.0218
910	0.0348
911	0.035
912	0.0494
913	0.0418
914	0.0573
915	0.0386
916	0.0572
917	0.0465
918	0.0571
919	0.058
920	0.0386
921	0.0639
922	0.106
923	0.1284
924	0.0945
925	0.0875
926	0.1018
927	0.1263
928	0.1158
929	0.1406
930	0.152
931	0.1645
932	0.1884
933	0.2381
934	0.2612
935	0.2938
936	0.3207
937	0.4142
938	0.4854
939	0.5626
940	0.6387
941	0.7664
942	0.9122
943	1.0335
944	1.1136
945	1.253
946	1.4317
947	1.6202
948	1.7643
949	1.9185
950	2.1292
951	2.4228
952	2.7443
953	3.1566
954	3.7184
955	4.419
956	5.3891
957	6.5934
958	8.3495
959	10.668
960	13.372
961	17.036
962	21.734
963	27.174
964	34.075
965	41.14
966	48.751
967	56.808
968	64.339
969	71.738
970	77.603
971	82.323
972	86.142
973	88.688
974	90.57
975	91.626
976	92.266
977	92.644
978	92.807
979	92.69
980	92.507
981	92.385
982	92.123
983	91.741
984	91.449
985	91.406
986	91.502
987	91.646
988	91.749
989	91.916
990	92.267
991	92.467
992	92.658
993	92.833
994	92.816
995	92.92
996	93.049
997	92.993
998	93.07
999	93.223
1000	93.242
1001	93.301
1002	93.369
1003	93.254
1004	93.165
1005	93.167
1006	93.012
